BRAND,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
TOYOTA,21553,22222,24514,18619,20161,19824,20185,20733,20072,21504,24268,25268
DAIHATSU,11305,12501,13111,9801,9997,10001,11220,11008,11390,12216,12750,12555
HONDA,8757,7754,8165,4539,4740,5238,5003,5317,4600,4607,5505,7008
MITSUBISHI,4665,6176,6372,4355,5372,5505,4815,6161,5703,6284,7020,7910
SUZUKI,4525,5068,5006,4077,4523,4570,5504,5700,5477,5903,6096,8389
BYD,1005,1488,2870,3531,2639,2172,2827,2746,2036,9732,8243,5053
ISUZU,1639,2149,2007,1273,2030,2196,1799,2185,2230,2096,2723,2968
WULING,1667,2033,1725,1293,1465,1101,1687,1546,1467,1744,1778,3101
HYUNDAI,2001,2153,2354,1703,1651,1721,1402,1409,1412,1353,1305,1200
CHERY,1198,1327,1521,1549,2067,2150,1705,1485,2102,1563,1404,1414
VINFAST,28,45,162,1227,241,491,140,134,160,161,168,7673
DENZA,0,519,1801,847,829,1128,423,542,369,330,290,246
AION,157,127,712,507,466,747,771,681,452,442,377,1501
MAZDA,247,297,313,205,253,220,223,333,317,234,232,358
JAECOO,0,0,0,0,0,0,0,290,174,140,774,1122
BMW,235,310,290,88,101,104,135,274,258,172,176,307
GEELY,0,0,103,202,231,247,197,244,221,179,258,312
MG,165,243,197,114,136,144,129,151,92,157,120,208
LEXUS,55,127,175,163,164,123,112,185,152,79,89,99
CITROËN,85,113,144,101,102,100,121,98,91,88,101,372
GWM,68,78,77,69,46,81,41,210,210,152,234,183
MERCEDES-BENZ,62,132,137,73,108,127,122,160,95,78,76,107
NISSAN,89,113,163,84,76,63,70,75,72,41,31,64
FORD,66,55,64,92,80,58,61,77,50,73,71,105
XPENG,0,0,0,0,0,0,56,122,80,104,152,310
JETOUR,0,60,50,55,11,23,73,101,61,100,130,140
BAIC,28,43,53,29,40,48,50,75,60,88,98,65
MINI,24,62,69,20,22,54,48,69,47,29,24,38
NETA,53,55,47,50,51,58,31,23,17,13,6,2
POLYTRON,0,0,0,0,0,0,6,12,29,103,58,145
SUBARU,30,20,23,20,16,13,32,60,35,21,15,15
KIA,38,40,40,23,23,13,18,28,23,15,12,0
VOLKSWAGEN,8,7,19,6,50,39,16,35,24,16,12,16
MAXUS,23,8,21,3,4,1,6,8,27,15,26,50
VOLVO,6,10,7,10,11,8,10,16,10,15,22,49
AUDI,1,2,2,2,1,1,0,1,1,2,1,3